,Neuron,Target,Number of Connections,Neurotransmitter
753,AVM,BDUR,2.0,exc
754,AVM,DA1,1.0,exc
755,AVM,PVCL,4.0,exc
756,AVM,PVCR,5.0,exc
757,AVM,PVNL,1.0,exc
758,AVM,PVR,3.0,exc
759,AVM,RID,1.0,exc
760,AVM,SIBVL,1.0,exc
761,AVM,VA1,2.0,exc
762,AWAL,ADAL,1.0,exc
763,AWAL,AFDL,5.0,exc
764,AWAL,AIYL,1.0,exc
765,AWAL,AIZL,10.0,exc
766,AWAL,ASEL,4.0,exc
767,AWAL,ASGL,1.0,exc
768,AWAL,AWBL,1.0,exc
769,AWAR,ADFR,3.0,exc
770,AWAR,AFDR,7.0,exc
771,AWAR,AIYR,2.0,exc
772,AWAR,AIZR,7.0,exc
773,AWAR,ASEL,1.0,exc
774,AWAR,ASER,2.0,exc
775,AWAR,AUAR,1.0,exc
776,AWAR,AWBR,1.0,exc
777,AWAR,RIFR,2.0,exc
778,AWAR,RIGR,1.0,exc
779,AWAR,RIR,2.0,exc
780,AWBL,ADFL,9.0,exc
781,AWBL,AIBR,1.0,exc
782,AWBL,AIZL,9.0,exc
783,AWBL,AVBL,1.0,exc
784,AWBL,RIAL,3.0,exc
785,AWBL,SMBDL,1.0,exc
786,AWBR,ADFR,4.0,exc
787,AWBR,AIZR,4.0,exc
788,AWBR,ASGR,1.0,exc
789,AWBR,ASHR,2.0,exc
790,AWBR,AVBR,2.0,exc
791,AWBR,RIAR,1.0,exc
792,AWBR,RIR,2.0,exc
793,AWBR,SMBVR,1.0,exc
794,AWCL,AIAL,2.0,exc
795,AWCL,AIAR,4.0,exc
796,AWCL,AIBL,1.0,exc
797,AWCL,AIBR,1.0,exc
798,AWCL,AIYL,10.0,exc
799,AWCL,ASEL,1.0,exc
800,AWCL,AVAL,1.0,exc
801,AWCL,AWCR,1.0,exc
802,AWCL,RIAL,3.0,exc
803,AWCR,AIAR,1.0,exc
804,AWCR,AIBR,4.0,exc
805,AWCR,AIYL,4.0,exc
806,AWCR,AIYR,9.0,exc
807,AWCR,ASEL,1.0,exc
808,AWCR,ASGR,1.0,exc
809,AWCR,AWCL,5.0,exc
810,BAGL,AIBL,1.0,exc
811,BAGL,AVAR,1.0,exc
812,BAGL,AVEL,1.0,exc
813,BAGL,AVER,4.0,exc
814,BAGL,BAGR,1.0,exc
815,BAGL,RIAR,5.0,exc
816,BAGL,RIBL,1.0,exc
817,BAGL,RIBR,7.0,exc
818,BAGL,RIGL,1.0,exc
819,BAGL,RIGR,4.0,exc
820,BAGR,AIYL,1.0,exc
821,BAGR,AVAL,1.0,exc
822,BAGR,AVEL,2.0,exc
823,BAGR,RIAL,5.0,exc
824,BAGR,RIBL,4.0,exc
825,BAGR,RIGL,5.0,exc
826,BDUL,ADEL,3.0,inh
827,BDUL,AVHL,1.0,inh
828,BDUL,AVJR,1.0,inh
829,BDUL,HSNL,1.0,inh
830,BDUL,PVNL,2.0,inh
831,BDUL,PVNR,2.0,inh
832,BDUL,SAADL,1.0,inh
833,BDUL,URADL,1.0,inh
834,BDUR,ADER,1.0,inh
835,BDUR,ALMR,1.0,inh
836,BDUR,AVAL,3.0,inh
837,BDUR,AVHL,1.0,inh
838,BDUR,AVJL,2.0,inh
839,BDUR,HSNR,4.0,inh
840,BDUR,PVCL,1.0,inh
841,BDUR,PVNL,2.0,inh
842,BDUR,PVNR,1.0,inh
843,BDUR,SDQL,1.0,inh
844,BDUR,URADR,1.0,inh
845,CEPDL,AVER,5.0,exc
846,CEPDL,IL1DL,4.0,exc
847,CEPDL,OLLL,2.0,exc
848,CEPDL,OLQDL,6.0,exc
849,CEPDL,RIBL,2.0,exc
850,CEPDL,RICL,1.0,exc
851,CEPDL,RICR,2.0,exc
852,CEPDL,RIPL,2.0,exc
853,CEPDL,RIS,1.0,exc
854,CEPDL,RMDVL,3.0,exc
855,CEPDL,RMGL,4.0,exc
856,CEPDL,RMHR,4.0,exc
857,CEPDL,SIADR,1.0,exc
858,CEPDL,SMBDR,1.0,exc
859,CEPDL,URADL,2.0,exc
860,CEPDL,URBL,4.0,exc
861,CEPDL,URYDL,2.0,exc
862,CEPDR,AVEL,6.0,exc
863,CEPDR,BDUR,1.0,exc
864,CEPDR,IL1DR,5.0,exc
865,CEPDR,IL1R,1.0,exc
866,CEPDR,OLLR,8.0,exc
867,CEPDR,OLQDR,5.0,exc
868,CEPDR,RIBR,1.0,exc
869,CEPDR,RICL,4.0,exc
870,CEPDR,RICR,3.0,exc
871,CEPDR,RIS,1.0,exc
872,CEPDR,RMDDL,1.0,exc
873,CEPDR,RMDVR,2.0,exc
874,CEPDR,RMGR,1.0,exc
875,CEPDR,RMHL,4.0,exc
876,CEPDR,RMHR,1.0,exc
877,CEPDR,SIADL,1.0,exc
878,CEPDR,SMBDR,1.0,exc
879,CEPDR,URADR,1.0,exc
880,CEPDR,URBR,2.0,exc
881,CEPDR,URYDR,1.0,exc
882,CEPVL,ADLL,1.0,exc
883,CEPVL,AVER,3.0,exc
884,CEPVL,IL1VL,2.0,exc
885,CEPVL,OLLL,4.0,exc
886,CEPVL,OLQVL,6.0,exc
887,CEPVL,RICL,7.0,exc
888,CEPVL,RICR,4.0,exc
889,CEPVL,RIPL,1.0,exc
890,CEPVL,RMDDL,4.0,exc
891,CEPVL,RMHL,1.0,exc
892,CEPVL,SIAVL,1.0,exc
893,CEPVL,URAVL,2.0,exc
894,CEPVR,ASGR,1.0,exc
895,CEPVR,AVEL,5.0,exc
896,CEPVR,IL1VR,1.0,exc
897,CEPVR,IL2VR,2.0,exc
898,CEPVR,OLLR,7.0,exc
899,CEPVR,OLQVR,3.0,exc
900,CEPVR,RICL,2.0,exc
901,CEPVR,RICR,2.0,exc
902,CEPVR,RIPR,1.0,exc
903,CEPVR,RIVL,1.0,exc
904,CEPVR,RMDDR,2.0,exc
905,CEPVR,RMHR,2.0,exc
906,CEPVR,SIAVR,2.0,exc
907,CEPVR,URAVR,1.0,exc
908,DA1,DD1,4.0,exc
909,DA1,VD1,17.0,exc
910,DA1,VD2,1.0,exc
911,DA2,DD1,1.0,exc
912,DA2,VD1,2.0,exc
913,DA2,VD2,11.0,exc
914,DA2,VD3,5.0,exc
915,DA3,AS4,1.0,exc
916,DA3,DA4,2.0,exc
917,DA3,DB3,1.0,exc
918,DA3,DD2,1.0,exc
919,DA3,VD3,25.0,exc
920,DA3,VD4,6.0,exc
921,DA4,DA3,1.0,exc
922,DA4,DB3,1.0,exc
923,DA4,DD2,1.0,exc
924,DA4,VD4,12.0,exc
925,DA4,VD5,15.0,exc
926,DA5,DB4,1.0,exc
927,DA5,VD5,1.0,exc
928,DA5,VD6,16.0,exc
929,DA6,VD4,4.0,exc
930,DA6,VD5,3.0,exc
931,DA6,VD6,3.0,exc
932,DA9,DD6,1.0,exc
933,DA9,VD13,1.0,exc
934,DB1,AS1,1.0,exc
935,DB1,AS2,1.0,exc
936,DB1,AS3,1.0,exc
937,DB1,DD1,10.0,exc
938,DB1,VD1,21.0,exc
939,DB1,VD2,15.0,exc
940,DB1,VD3,1.0,exc
941,DB2,DA3,5.0,exc
942,DB2,DD2,2.0,exc
943,DB2,VD3,23.0,exc
944,DB2,VD4,14.0,exc
945,DB2,VD5,1.0,exc
946,DB3,AS4,1.0,exc
947,DB3,AS5,1.0,exc
948,DB3,DD2,4.0,exc
949,DB3,DD3,10.0,exc
950,DB3,VD4,9.0,exc
951,DB3,VD5,26.0,exc
952,DB3,VD6,7.0,exc
953,DB4,DD3,3.0,exc
954,DB4,VD6,13.0,exc
955,DB7,VD13,2.0,exc
956,DD1,DA2,2.0,inh
957,DD1,VD2,1.0,inh
958,DD2,DA3,1.0,inh
959,DD2,VD3,1.0,inh
960,DD2,VD4,1.0,inh
961,DD5,VB8,1.0,inh
962,DD5,VD9,1.0,inh
963,DVA,AIZL,3.0,inh
964,DVA,AQR,4.0,inh
965,DVA,AUAL,1.0,inh
966,DVA,AUAR,1.0,inh
967,DVA,AVAL,3.0,inh
968,DVA,AVAR,1.0,inh
969,DVA,AVBL,1.0,inh
970,DVA,AVEL,9.0,inh
971,DVA,AVER,5.0,inh
972,DVA,DB2,1.0,inh
973,DVA,DB3,2.0,inh
974,DVA,DB4,1.0,inh
975,DVA,DB5,1.0,inh
976,DVA,DB6,2.0,inh
977,DVA,DB7,1.0,inh
978,DVA,PDEL,3.0,inh
979,DVA,PVCL,3.0,inh
980,DVA,PVCR,1.0,inh
981,DVA,PVR,3.0,inh
982,DVA,RIAL,1.0,inh
983,DVA,RIAR,1.0,inh
984,DVA,RIMR,1.0,inh
985,DVA,RIR,3.0,inh
986,DVA,SAADR,1.0,inh
987,DVA,SAAVL,1.0,inh
988,DVA,SAAVR,1.0,inh
989,DVA,SABD,1.0,inh
990,DVA,SMBDL,3.0,inh
991,DVA,SMBDR,2.0,inh
992,DVA,SMBVL,3.0,inh
993,DVA,SMBVR,2.0,inh
994,DVA,VA12,1.0,inh
995,DVA,VA2,1.0,inh
996,DVA,VB1,1.0,inh
997,DVA,VB11,2.0,inh
998,DVB,AVL,5.0,inh
999,DVB,DA8,2.0,inh
1000,DVB,DD6,3.0,inh
1001,DVB,DVC,3.0,inh
1002,DVB,PDA,1.0,inh
1003,DVB,PHCL,1.0,inh
1004,DVB,PVPL,1.0,inh
1005,DVC,AIBL,1.0,inh
1006,DVC,AIBR,3.0,inh
1007,DVC,AVAL,5.0,inh
1008,DVC,AVAR,7.0,inh
1009,DVC,AVBL,1.0,inh
1010,DVC,AVKL,2.0,inh
1011,DVC,AVKR,1.0,inh
1012,DVC,PVT,1.0,inh
1013,DVC,RIBL,1.0,inh
1014,DVC,RIBR,1.0,inh
1015,DVC,RIGL,5.0,inh
1016,DVC,RIGR,5.0,inh
1017,DVC,RMFL,2.0,inh
1018,DVC,RMFR,4.0,inh
1019,FLPL,ADEL,2.0,exc
1020,FLPL,ADER,2.0,exc
1021,FLPL,AIBL,1.0,exc
1022,FLPL,AIBR,2.0,exc
1023,FLPL,AVAL,14.0,exc
1024,FLPL,AVAR,17.0,exc
1025,FLPL,AVBL,4.0,exc
1026,FLPL,AVBR,5.0,exc
1027,FLPL,AVDL,6.0,exc
1028,FLPL,AVDR,13.0,exc
1029,FLPL,DVA,1.0,exc
1030,FLPL,FLPR,1.0,exc
1031,FLPR,ADER,1.0,exc
1032,FLPR,AIBR,1.0,exc
1033,FLPR,AVAL,12.0,exc
1034,FLPR,AVAR,5.0,exc
1035,FLPR,AVBL,5.0,exc
1036,FLPR,AVBR,1.0,exc
1037,FLPR,AVDL,10.0,exc
1038,FLPR,AVDR,1.0,exc
1039,FLPR,AVEL,4.0,exc
1040,FLPR,AVER,2.0,exc
1041,FLPR,AVJR,1.0,exc
1042,FLPR,DVA,1.0,exc
1043,FLPR,FLPL,2.0,exc
1044,FLPR,PVCL,2.0,exc
1045,FLPR,VB1,1.0,exc
1046,HSNL,AIAL,1.0,exc
1047,HSNL,AIZL,2.0,exc
1048,HSNL,AIZR,1.0,exc
1049,HSNL,ASHL,1.0,exc
1050,HSNL,ASHR,2.0,exc
1051,HSNL,ASJR,1.0,exc
1052,HSNL,ASKL,1.0,exc
1053,HSNL,AVDR,2.0,exc
1054,HSNL,AVFL,6.0,exc
1055,HSNL,AVJL,1.0,exc
1056,HSNL,AWBL,1.0,exc
1057,HSNL,AWBR,2.0,exc
1058,HSNL,HSNR,3.0,exc
1059,HSNL,RIFL,3.0,exc
1060,HSNL,RIML,2.0,exc
1061,HSNL,SABVL,2.0,exc
1062,HSNL,VC5,3.0,exc
1063,HSNR,AIBL,1.0,exc
1064,HSNR,AIBR,1.0,exc
1065,HSNR,AIZL,1.0,exc
1066,HSNR,AIZR,1.0,exc
1067,HSNR,AS5,1.0,exc
1068,HSNR,ASHL,2.0,exc
1069,HSNR,AVDR,1.0,exc
1070,HSNR,AVFL,1.0,exc
1071,HSNR,AVJL,1.0,exc
1072,HSNR,AVL,1.0,exc
1073,HSNR,AWBL,1.0,exc
1074,HSNR,BDUR,1.0,exc
1075,HSNR,DA5,1.0,exc
1076,HSNR,DA6,1.0,exc
1077,HSNR,HSNL,1.0,exc
1078,HSNR,PVNR,1.0,exc
1079,HSNR,PVQR,1.0,exc
1080,HSNR,RIFR,4.0,exc
1081,HSNR,RMGR,1.0,exc
1082,HSNR,SABD,1.0,exc
1083,HSNR,SABVR,1.0,exc
1084,HSNR,VA6,1.0,exc
1085,HSNR,VC2,3.0,exc
1086,HSNR,VC3,1.0,exc
1087,HSNR,VD4,2.0,exc
1088,I1L,I3,1.0,exc
1089,I1R,I3,1.0,exc
1090,I2L,M1,2.0,exc
1091,I2R,M1,2.0,exc
1092,I3,M1,2.0,exc
1093,I3,M2L,1.0,exc
1094,I3,M2R,1.0,exc
1095,I4,I2L,5.0,exc
1096,I4,I2R,5.0,exc
1097,I4,I5,2.0,exc
1098,I4,M1,2.0,exc
1099,I5,I1L,3.0,exc
1100,I5,I1R,2.0,exc
1101,I5,M1,1.0,exc
1102,I5,M5,1.0,exc
1103,I5,MI,2.0,exc
1104,I6,I2L,2.0,exc
1105,I6,I2R,2.0,exc
1106,I6,I3,1.0,exc
1107,I6,NSML,2.0,exc
1108,I6,NSMR,2.0,exc
1109,IL1DL,PVR,1.0,exc
1110,IL1DL,RIH,1.0,exc
1111,IL1DL,RIPL,2.0,exc
1112,IL1DL,RMDDR,1.0,exc
1113,IL1DL,RMDVL,4.0,exc
1114,IL1DL,URYDL,1.0,exc
1115,IL1DR,RIPR,5.0,exc
1116,IL1DR,RMDVR,5.0,exc
1117,IL1L,AVER,2.0,exc
1118,IL1L,IL1DL,1.0,exc
1119,IL1L,RMDDL,5.0,exc
1120,IL1L,RMDL,1.0,exc
1121,IL1L,RMDR,3.0,exc
1122,IL1L,RMDVL,4.0,exc
1123,IL1L,RMDVR,2.0,exc
1124,IL1L,RMER,1.0,exc
1125,IL1R,AVEL,1.0,exc
1126,IL1R,AVER,1.0,exc
1127,IL1R,IL1DR,1.0,exc
1128,IL1R,RMDDL,3.0,exc
1129,IL1R,RMDDR,2.0,exc
1130,IL1R,RMDL,4.0,exc
1131,IL1R,RMDR,2.0,exc
1132,IL1R,RMDVL,1.0,exc
1133,IL1R,RMDVR,4.0,exc
1134,IL1R,RMEL,2.0,exc
1135,IL1R,RMHL,1.0,exc
1136,IL1R,URXR,2.0,exc
1137,IL1VL,IL1L,1.0,exc
1138,IL1VL,RIPL,4.0,exc
1139,IL1VL,RMDDL,5.0,exc
1140,IL1VL,URYVL,1.0,exc
1141,IL1VR,IL1R,1.0,exc
1142,IL1VR,IL2VR,1.0,exc
1143,IL1VR,RIPR,6.0,exc
1144,IL1VR,RMDDR,10.0,exc
1145,IL1VR,RMER,1.0,exc
1146,IL2DL,AUAL,1.0,exc
1147,IL2DL,IL1DL,7.0,exc
1148,IL2DL,OLQDL,2.0,exc
1149,IL2DL,RIBL,1.0,exc
1150,IL2DL,RIPL,10.0,exc
1151,IL2DL,RMEL,4.0,exc
1152,IL2DL,RMER,3.0,exc
1153,IL2DL,URADL,3.0,exc
1154,IL2DR,CEPDR,1.0,exc
1155,IL2DR,IL1DR,7.0,exc
1156,IL2DR,RICR,1.0,exc
1157,IL2DR,RIPR,11.0,exc
1158,IL2DR,RMED,1.0,exc
1159,IL2DR,RMEL,2.0,exc
1160,IL2DR,RMER,2.0,exc
1161,IL2DR,RMEV,1.0,exc
1162,IL2DR,URADR,3.0,exc
1163,IL2L,ADEL,2.0,exc
1164,IL2L,AVEL,1.0,exc
1165,IL2L,IL1L,1.0,exc
1166,IL2L,OLQDL,5.0,exc
1167,IL2L,OLQVL,8.0,exc
1168,IL2L,RICL,1.0,exc
1169,IL2L,RIH,7.0,exc
1170,IL2L,RMDL,3.0,exc
1171,IL2L,RMDR,1.0,exc
1172,IL2L,RMER,2.0,exc
1173,IL2L,RMEV,2.0,exc
1174,IL2L,URXL,2.0,exc
1175,IL2R,ADER,1.0,exc
1176,IL2R,IL1R,1.0,exc
1177,IL2R,OLLR,1.0,exc
1178,IL2R,OLQDR,2.0,exc
1179,IL2R,OLQVR,7.0,exc
1180,VC1,VD1,4.0,exc
1181,VC1,VD2,1.0,exc
1182,VC1,VD3,1.0,exc
1183,VC1,VD4,2.0,exc
1184,VC1,VD5,5.0,exc
1185,VC1,VD6,1.0,exc
1186,VC2,DB4,1.0,exc
1187,VC2,DD1,6.0,exc
1188,VC2,DD2,4.0,exc
1189,VC2,DD3,9.0,exc
1190,VC2,DVC,1.0,exc
1191,VC2,PVCR,1.0,exc
1192,VC2,PVQR,1.0,exc
1193,VC2,PVT,2.0,exc
1194,VC2,VC1,4.0,exc
1195,VC2,VC3,4.0,exc
1196,VC2,VD1,2.0,exc
1197,VC2,VD2,2.0,exc
1198,VC2,VD4,5.0,exc
1199,VC2,VD5,5.0,exc
1200,VC2,VD6,1.0,exc
1201,VC3,AVL,1.0,exc
1202,VC3,DD1,2.0,exc
1203,VC3,DD2,4.0,exc
1204,VC3,DD3,5.0,exc
1205,VC3,DD4,12.0,exc
1206,VC3,DVC,1.0,exc
1207,VC3,HSNR,1.0,exc
1208,VC3,PVNR,1.0,exc
1209,VC3,PVPR,1.0,exc
1210,VC3,PVQR,4.0,exc
1211,VC3,VC1,2.0,exc
1212,VC3,VC2,1.0,exc
1213,VC3,VD1,1.0,exc
1214,VC3,VD2,1.0,exc
1215,VC3,VD3,1.0,exc
1216,VC3,VD4,2.0,exc
1217,VC3,VD5,4.0,exc
1218,VC3,VD6,4.0,exc
1219,VC3,VD7,5.0,exc
1220,VC4,AVBL,1.0,exc
1221,VC4,AVHR,1.0,exc
1222,VC4,VC1,1.0,exc
1223,VC4,VC3,4.0,exc
1224,VC4,VC5,1.0,exc
1225,VC5,AVFL,1.0,exc
1226,VC5,AVFR,1.0,exc
1227,VC5,DVC,2.0,exc
1228,VC5,HSNL,1.0,exc
1229,VC5,OLLR,1.0,exc
1230,VC5,PVT,1.0,exc
1231,VC5,URBL,3.0,exc
1232,VC5,VC3,1.0,exc
1233,VC5,VC4,1.0,exc
1234,VD1,DD1,1.0,inh
1235,VD1,VA1,2.0,inh
1236,VD10,DD5,1.0,inh
1237,VD10,VB9,2.0,inh
1238,VD11,AVAR,2.0,inh
1239,VD11,VA11,1.0,inh
1240,VD11,VB10,1.0,inh
1241,VD12,VA11,3.0,inh
1242,VD12,VA12,2.0,inh
1243,VD12,VB10,1.0,inh
1244,VD12,VB11,1.0,inh
1245,VD13,AVAR,2.0,inh
1246,VD13,PVCL,1.0,inh
1247,VD13,PVCR,1.0,inh
1248,VD13,VA12,1.0,inh
1249,VD2,DD1,1.0,inh
1250,VD2,VA2,6.0,inh
1251,VD2,VB2,3.0,inh
1252,VD3,VA3,2.0,inh
1253,VD3,VB2,2.0,inh
1254,VD5,AVAR,1.0,inh
1255,VD5,VA5,2.0,inh
1256,VD5,VB4,2.0,inh
1257,VD6,AVAL,1.0,inh
1258,VD6,VA6,1.0,inh
1259,VD6,VB5,2.0,inh
1260,VD8,DD4,1.0,inh
1261,VD8,VA8,4.0,inh
1262,IL2R,RIH,6.0,exc
1263,IL2R,RMDL,1.0,exc
1264,IL2R,RMEL,2.0,exc
1265,IL2R,RMEV,1.0,exc
1266,IL2R,URBR,1.0,exc
1267,IL2VL,BAGR,1.0,exc
1268,IL2VL,IL1VL,7.0,exc
1269,IL2VL,IL2L,1.0,exc
1270,IL2VL,OLQVL,1.0,exc
1271,IL2VL,RIAL,1.0,exc
1272,IL2VL,RIH,2.0,exc
1273,IL2VL,RIPL,11.0,exc
1274,IL2VL,RMEL,1.0,exc
1275,IL2VL,RMER,4.0,exc
1276,IL2VL,RMEV,1.0,exc
1277,IL2VL,URAVL,3.0,exc
1278,IL2VR,IL1VR,6.0,exc
1279,IL2VR,OLQVR,1.0,exc
1280,IL2VR,RIAR,2.0,exc
1281,IL2VR,RIH,3.0,exc
1282,IL2VR,RIPR,15.0,exc
1283,IL2VR,RMEL,3.0,exc
1284,IL2VR,RMER,2.0,exc
1285,IL2VR,RMEV,3.0,exc
1286,IL2VR,URAVR,4.0,exc
1287,IL2VR,URXR,1.0,exc
1288,LUAL,AVAL,5.0,exc
1289,LUAL,AVAR,6.0,exc
1290,LUAL,AVDL,4.0,exc
1291,LUAL,AVDR,2.0,exc
1292,LUAL,AVJL,1.0,exc
1293,LUAL,PHBL,1.0,exc
1294,LUAL,PVNL,1.0,exc
1295,LUAL,PVWL,1.0,exc
1296,LUAR,AVAL,3.0,exc
1297,LUAR,AVAR,7.0,exc
1298,LUAR,AVDL,1.0,exc
1299,LUAR,AVDR,3.0,exc
1300,LUAR,AVJR,1.0,exc
1301,LUAR,PQR,1.0,exc
1302,LUAR,PVCR,3.0,exc
1303,LUAR,PVR,1.0,exc
1304,LUAR,PVWL,1.0,exc
1305,M2L,I1R,3.0,exc
1306,M2L,I1L,3.0,exc
1307,M2L,I3,2.0,exc
1308,M2L,MI,2.0,exc
1309,M2R,I1L,3.0,exc
1310,M2R,I1R,3.0,exc
1311,M2R,I3,2.0,exc
1312,M2R,MI,2.0,exc
1313,M3L,I1L,4.0,exc
1314,M3L,I1R,4.0,exc
1315,M3L,I4,2.0,exc
1316,M3L,I5,3.0,exc
1317,M3L,I6,1.0,exc
1318,M3L,M1,1.0,exc
1319,M3L,MI,1.0,exc
1320,M3L,NSML,2.0,exc
1321,M3L,NSMR,3.0,exc
1322,M3R,I1L,4.0,exc
1323,M3R,I1R,4.0,exc
1324,M3R,I3,2.0,exc
1325,M3R,I4,6.0,exc
1326,M3R,I5,3.0,exc
1327,M3R,I6,1.0,exc
1328,M3R,M1,1.0,exc
1329,M3R,MI,1.0,exc
1330,M3R,NSML,2.0,exc
1331,M3R,NSMR,3.0,exc
1332,M4,I3,1.0,exc
1333,M4,I5,13.0,exc
1334,M4,I6,2.0,exc
1335,M4,NSML,1.0,exc
1336,M4,NSMR,1.0,exc
1337,M5,I5,3.0,exc
1338,M5,M1,1.0,exc
1339,MCL,I1L,3.0,exc
1340,MCL,I1R,3.0,exc
1341,MCL,I2L,1.0,exc
1342,MCL,I2R,1.0,exc
1343,MCL,I3,1.0,exc
1344,MCL,M1,1.0,exc
1345,MCR,I1L,3.0,exc
1346,MCR,I1R,3.0,exc
1347,MCR,I3,1.0,exc
1348,MCR,M1,1.0,exc
1349,NSML,I1L,1.0,exc
1350,NSML,I1R,2.0,exc
1351,NSML,I2L,6.0,exc
1352,NSML,I2R,6.0,exc
1353,NSML,I3,2.0,exc
1354,NSML,I4,3.0,exc
1355,NSML,I5,2.0,exc
1356,NSML,I6,2.0,exc
1357,NSML,M3L,1.0,exc
1358,NSML,M3R,1.0,exc
1359,NSMR,I1L,2.0,exc
1360,NSMR,I1R,2.0,exc
1361,NSMR,I2L,6.0,exc
1362,NSMR,I2R,6.0,exc
1363,NSMR,I3,2.0,exc
1364,NSMR,I4,3.0,exc
1365,NSMR,I5,2.0,exc
1366,NSMR,I6,2.0,exc
1367,NSMR,M3L,1.0,exc
1368,NSMR,M3R,1.0,exc
1369,OLLL,AVER,21.0,exc
1370,OLLL,CEPDL,3.0,exc
1371,OLLL,CEPVL,4.0,exc
1372,OLLL,IL1VL,2.0,exc
1373,OLLL,RIBL,8.0,exc
1374,OLLL,RMDDL,7.0,exc
1375,OLLL,RMDL,2.0,exc
1376,OLLL,RMDVL,1.0,exc
1377,OLLL,RMEL,2.0,exc
1378,OLLL,SMDDL,3.0,exc
1379,OLLL,SMDDR,4.0,exc
1380,OLLL,SMDVR,4.0,exc
1381,OLLL,URYDL,1.0,exc
1382,OLLR,AVEL,16.0,exc
1383,OLLR,CEPDR,1.0,exc
1384,OLLR,CEPVR,6.0,exc
1385,OLLR,IL1DR,2.0,exc
1386,OLLR,IL1VR,1.0,exc
1387,OLLR,IL2R,1.0,exc
1388,OLLR,RIBR,10.0,exc
1389,OLLR,RMDDR,10.0,exc
1390,OLLR,RMDL,3.0,exc
1391,OLLR,RMDVR,3.0,exc
1392,OLLR,RMER,2.0,exc
1393,OLLR,SMDDR,1.0,exc
1394,OLLR,SMDVL,4.0,exc
1395,OLLR,SMDVR,3.0,exc
1396,OLQDL,RICR,1.0,exc
1397,OLQDL,RMDDR,4.0,exc
1398,OLQDL,SIBVL,3.0,exc
1399,OLQDR,RICL,1.0,exc
1400,OLQDR,RICR,1.0,exc
1401,OLQDR,RMDDL,3.0,exc
1402,OLQDR,RMHR,1.0,exc
1403,OLQDR,SIBVR,2.0,exc
1404,OLQVL,IL1VL,1.0,exc
1405,OLQVL,IL2VL,1.0,exc
1406,OLQVL,RICL,1.0,exc
1407,OLQVL,RIH,1.0,exc
1408,OLQVL,RIPL,1.0,exc
1409,OLQVL,RMDVR,4.0,exc
1410,OLQVL,SIBDL,3.0,exc
1411,OLQVR,IL1VR,1.0,exc
1412,OLQVR,RICR,1.0,exc
1413,OLQVR,RIH,2.0,exc
1414,OLQVR,RIPR,2.0,exc
1415,OLQVR,RMDVL,4.0,exc
1416,OLQVR,RMER,1.0,exc
1417,OLQVR,SIBDR,4.0,exc
1418,PDA,AS11,1.0,exc
1419,PDA,DA9,1.0,exc
1420,PDA,DD6,1.0,exc
1421,PDA,PVNR,1.0,exc
1422,PDA,VD13,3.0,exc
1423,PDB,VD13,2.0,exc
1424,PDEL,AVKL,6.0,exc
1425,PDEL,DVA,24.0,exc
1426,PDEL,PDER,1.0,exc
1427,PDEL,PVM,2.0,exc
1428,PDEL,PVR,2.0,exc
1429,PDEL,VA9,1.0,exc
1430,PDEL,VD11,1.0,exc
1431,PDER,AVKL,16.0,exc
1432,PDER,DVA,35.0,exc
1433,PDER,PVCL,1.0,exc
1434,PDER,PVCR,1.0,exc
1435,PHAL,AVDR,1.0,exc
1436,PHAL,AVFL,3.0,exc
1437,PHAL,AVG,5.0,exc
1438,PHAL,AVHL,1.0,exc
1439,PHAL,AVHR,1.0,exc
1440,PHAL,DVA,2.0,exc
1441,PHAL,PHAR,5.0,exc
1442,PHAL,PHBL,5.0,exc
1443,PHAL,PHBR,5.0,exc
1444,PHAL,PVQL,2.0,exc
1445,PHAR,AVG,3.0,exc
1446,PHAR,AVHR,1.0,exc
1447,PHAR,DA8,1.0,exc
1448,PHAR,DVA,1.0,exc
1449,PHAR,PHAL,6.0,exc
1450,PHAR,PHBL,1.0,exc
1451,PHAR,PHBR,5.0,exc
1452,PHAR,PVQL,2.0,exc
1453,PHBL,AVAL,9.0,exc
1454,PHBL,AVAR,6.0,exc
1455,PHBL,AVDL,1.0,exc
1456,PHBL,PHBR,1.0,exc
1457,PHBL,PVCL,13.0,exc
1458,PHBL,VA12,1.0,exc
1459,PHBR,AVAL,7.0,exc
1460,PHBR,AVAR,7.0,exc
1461,PHBR,AVDL,1.0,exc
1462,PHBR,AVDR,1.0,exc
1463,PHBR,AVFL,1.0,exc
1464,PHBR,DA8,1.0,exc
1465,PHBR,PHBL,1.0,exc
1466,PHBR,PVCL,6.0,exc
1467,PHBR,PVCR,3.0,exc
1468,PHBR,VA12,2.0,exc
1469,PHCL,AVAL,1.0,exc
1470,PHCL,DA9,7.0,exc
1471,PHCL,DVA,6.0,exc
1472,PHCL,LUAL,1.0,exc
1473,PHCL,PVCL,2.0,exc
1474,PHCL,VA12,2.0,exc
1475,PHCR,AVHR,1.0,exc
1476,PHCR,DA9,2.0,exc
1477,PHCR,DVA,8.0,exc
1478,PHCR,LUAR,1.0,exc
1479,PHCR,PHCL,1.0,exc
1480,PHCR,PVCR,8.0,exc
1481,PHCR,VA12,1.0,exc
1482,PLML,HSNL,1.0,exc
1483,PLMR,AS6,1.0,exc
1484,PLMR,AVAL,4.0,exc
1485,PLMR,AVAR,1.0,exc
1486,PLMR,AVDL,1.0,exc
